Job Title,Link
Data Scientist or Principal Data Scientist (San Diego),https://www.indeed.com/rc/clk?jk=256e7815289103de&bb=vEXHgNjH8SzZXVBJHlqTrXuYd_C1Cg2qN_p8Y3qHFprPXB08EW4CegrwLnwKndXBmtAisp7tVYN47cg35Ro7fIixHUbicxDCKCwswZTI2NYRTc-PdIa40w%3D%3D&xkcb=SoCy67M3-Pug0rwd1x0LbzkdCdPP&fccid=11619ce0d3c2c733&vjs=3
Autonomy and AI Test Engineer,https://www.indeed.com/rc/clk?jk=a1dc7362b680e984&bb=vEXHgNjH8SzZXVBJHlqTrdnUFftqNMNcNn6Ilb1q9NMjmznrvaDMA1IRV1ddTQBzC8FucFFlXuSBB6jpUI3-jjIfa6lAreo67QmmqOlO74sNfmBObQOnSQ%3D%3D&xkcb=SoAG67M3-Pug0rwd1x0KbzkdCdPP&fccid=59867e5a232c7b5c&vjs=3
Autonomy and AI SW Integration Engineer,https://www.indeed.com/rc/clk?jk=e9157fd108937564&bb=vEXHgNjH8SzZXVBJHlqTrfzJfDY4SXLqozt8elV7X4XeFhhLZ-SixPVvU-fqz-urZ-5SaxK234FItJ8zYUnC5JNIIjPqezZkm3rpADjPrBJraQ1s1RFzhA%3D%3D&xkcb=SoCb67M3-Pug0rwd1x0JbzkdCdPP&fccid=59867e5a232c7b5c&vjs=3
"Application Security Engineer, AWS Gen AI Security",https://www.indeed.com/rc/clk?jk=b125ea39b750d74c&bb=vEXHgNjH8SzZXVBJHlqTrVIbvO9DOaN-5OO6xYuUTcBIUiJDb25H4x-g3xGSQaPhuuSI9mkB2ibVYN2AXmFdmP6oRyrITt5I1m5W9GNfvDjLio7n1m-CPA%3D%3D&xkcb=SoAv67M3-Pug0rwd1x0IbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3
"Senior Engineer, AI Systems",https://www.indeed.com/rc/clk?jk=3f798c09d8e7b97e&bb=vEXHgNjH8SzZXVBJHlqTrVL6m5AFsnGL9M9CCGfxZ9QYjkJCMq6TLos4i7sWSR5tWbWOyI8K5UNgYkAvGzMnz0aTsi7K_T2WA-p9mfX1gYy9L5gTk01rbbWb6ueSN55h&xkcb=SoCh67M3-Pug0rwd1x0PbzkdCdPP&fccid=9ee5c6d8daccfba4&vjs=3
Machine Learning Engineer 2,https://www.indeed.com/rc/clk?jk=fba4bc541dba8c56&bb=vEXHgNjH8SzZXVBJHlqTrVL6m5AFsnGLVn_0lU_ap01fFK7J-NUsO1fxxcx2l8PoG6pR6SrqAm5ZpB2791w3DbVneaVl5BcbQoK0h8G03bmHTssHOegVdw%3D%3D&xkcb=SoAV67M3-Pug0rwd1x0ObzkdCdPP&fccid=9784ae78e9834539&vjs=3
"Data Scientist, Analytics",https://www.indeed.com/rc/clk?jk=2735b830c8e50814&bb=GJWaCnISMZ4HS8ui8xXFYNT66MbSJkZatDa2jHNful9GNAZ5kylxx3Ps8fbZcyICtmfsLv2Gn8KNtrLMji1WiH15ekNkJi1cnfRMHAAdtiKWq_d5npwfV9kM8YrxDCar&xkcb=SoA167M3-RcIfRwnHR0LbzkdCdPP&fccid=0c746cab37cd5dd5&vjs=3
Autonomy and AI Test Engineer,https://www.indeed.com/rc/clk?jk=a1dc7362b680e984&bb=GJWaCnISMZ4HS8ui8xXFYAOGYP43KLsTa7Kj2ym2fBEKvCDxr8KwTPhf3PD3oTH1FF5DVCgsJdUYqe5r2p51T-XratnMX4T-9E8MyB8czw_Ga9QbqHe61g%3D%3D&xkcb=SoCB67M3-RcIfRwnHR0KbzkdCdPP&fccid=59867e5a232c7b5c&vjs=3
Autonomy and AI SW Integration Engineer,https://www.indeed.com/rc/clk?jk=e9157fd108937564&bb=GJWaCnISMZ4HS8ui8xXFYLTjx3F60ldiCkvWO53jFomK6lJEsyfo_knDr_Su2Vsuv4VwTvHsJ4VD--UOdwO23356jZlQoa1i3hd1rco7qUHJ_ijWgvProg%3D%3D&xkcb=SoAc67M3-RcIfRwnHR0JbzkdCdPP&fccid=59867e5a232c7b5c&vjs=3
"Data Scientist, Analytics",https://www.indeed.com/rc/clk?jk=2735b830c8e50814&bb=swvkEnbQOC5GP_oTOiJgGZ7L68h1GoQGwKHNI9Kc10GwzDOB-hT5GvyhWdCtCeylBBK3FZW1HZ5Ucy9rgnTPhZUwcXiVdiVH8R9EIwlNsI9aa82kGRbHEPTVDKjPXVhH&xkcb=SoBy67M3-SDU-43Q0x0LbzkdCdPP&fccid=0c746cab37cd5dd5&vjs=3
"Data Scientist, Junior",https://www.indeed.com/rc/clk?jk=4897742fd7776cf7&bb=swvkEnbQOC5GP_oTOiJgGWFjVUZtY7EZYmF6MJUq1c359UAMaaQFLNIRyxXc8uo7APkU82RettWYewv7XpOSIXYLjroWRXGQDWQmlcmx9AcUJq27IHPBnrjgItWCIW_e&xkcb=SoDG67M3-SDU-43Q0x0KbzkdCdPP&fccid=4e041af1d0af1bc8&vjs=3
Autonomy and AI Test Engineer,https://www.indeed.com/rc/clk?jk=a1dc7362b680e984&bb=swvkEnbQOC5GP_oTOiJgGQU0jaI3Qc3nvreMLw9q71fSwCOpJLlQOhgfOX5M-fJjU5KYz0Dr2q43aK8MHZitQgX05FTaD32HMxJ0yR7reSo3DdQCworADg%3D%3D&xkcb=SoBb67M3-SDU-43Q0x0JbzkdCdPP&fccid=59867e5a232c7b5c&vjs=3
Autonomy and AI SW Integration Engineer,https://www.indeed.com/rc/clk?jk=e9157fd108937564&bb=swvkEnbQOC5GP_oTOiJgGYhYWbkIjkMO_eONEY7FWxH6t9f7_vaZ4pENREMH8AFNXsNHnxzDFijTJs1Lv89WsT27D-eY1Nt9wFuHRhzJKw6r2el0KhHiOQ%3D%3D&xkcb=SoDv67M3-SDU-43Q0x0IbzkdCdPP&fccid=59867e5a232c7b5c&vjs=3
AI Product Engineering Lead,https://www.indeed.com/rc/clk?jk=002bcb714cda88cd&bb=swvkEnbQOC5GP_oTOiJgGVuxZtfESW7jZF-bmXqJI7OvisOz8KeTK9e7RcQEcg1MWnCwmoALjICcTVarN4cRUU5oA04bfSerIkZQsnJQsA0soCt7WNd6qxMg726GvjOt&xkcb=SoBh67M3-SDU-43Q0x0PbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
AI Software Developer Architect / System Engineer,https://www.indeed.com/rc/clk?jk=b9f3f6ba1f4e843d&bb=swvkEnbQOC5GP_oTOiJgGb3aWV05HCMn7EHdEfxn94P5bjSxZYSFwRZtew6VvafclCyxJZvkcS39VzDQ7MyKIQ324uYEMBPOom2fBDZQsJJxTleiwcXQ1je4LgFGw12Z&xkcb=SoDV67M3-SDU-43Q0x0ObzkdCdPP&fccid=326f5cbd4573b99d&vjs=3
Data Scientist IV,https://www.indeed.com/rc/clk?jk=f7ed151946d9f25b&bb=iqQ082KeBuxaDihe83Le3CLJ1PcHZY6IZOwrCMHFREb-yy4ZYOrKcZwMNk-VhukYLExQzQA085Du6WmDavMisvcdJfvpbF855e2TIcNNLczpNfuoChz_QEKKkYgRSwM1&xkcb=SoCY67M3-cWkijgLSb0LbzkdCdPP&fccid=b8954ee3e94d90e1&cmp=Sapient-Logic&ti=Data+Scientist&vjs=3
Senior AI Model Efficiency Open-Source Developer,https://www.indeed.com/rc/clk?jk=8237e5fd42c7c39a&bb=iqQ082KeBuxaDihe83Le3Gx-dvBlfze8-00NGPtZxu5nd8KcbFAHYoQErm-LWS8xibcBMUczhCLc5skd7AYoKzgvybyjx6oHdNO1I00aNS79dfI0QIuHmg%3D%3D&xkcb=SoAs67M3-cWkijgLSb0KbzkdCdPP&fccid=d40ebe11fc879426&vjs=3
Data Scientist IV,https://www.indeed.com/rc/clk?jk=f7ed151946d9f25b&bb=famZagIERnd5_JBaAPly_P_k9zRgmVJtLAsOcMeoZzm_gNuDtPrtGkP2iC39oAXXRc0a1LCmfJOCkfkUIi1rNj7gpl3KU1pGedchyRgzYl3vw7fLH2kXJN8dwc9i_g8R&xkcb=SoBu67M3-fLQXFwiJR0LbzkdCdPP&fccid=b8954ee3e94d90e1&cmp=Sapient-Logic&ti=Data+Scientist&vjs=3
Cmptl and Data Sci Rsch Spec 3,https://www.indeed.com/rc/clk?jk=30c46050197e2fc7&bb=famZagIERnd5_JBaAPly_AEDbiWxBbWrWJl1LMoH1OCTvpo_wgWePwS5QspmMXiqlJ1c8xPZzvmmiKkkEpjUuPXl9ICcjK6_nI8evVMt1ub5wBzUl0DGSA%3D%3D&xkcb=SoDa67M3-fLQXFwiJR0KbzkdCdPP&fccid=10b5a4abcc6bf067&vjs=3
"Senior Manager, Data Science",https://www.indeed.com/rc/clk?jk=09abd6c3d5b7c964&bb=famZagIERnd5_JBaAPly_BOsNLvxsakiKajJO4mjlnkD1AQINuaK-L94Fd-sutqb5SzpeHKlMcUuZDWGmJMF5OkdCf80GU303gn-PiDoDs20odBuEPd_9g%3D%3D&xkcb=SoBH67M3-fLQXFwiJR0JbzkdCdPP&fccid=9784ae78e9834539&vjs=3
Senior AI Model Efficiency Open-Source Developer,https://www.indeed.com/rc/clk?jk=8237e5fd42c7c39a&bb=famZagIERnd5_JBaAPly_GLaXy3NiLBzvdgFyMClmuA5_K2rLBckJsQKgsHdHKkZ3YMyYoQJEE8h5tyE2JhAMgIixWpTnxy1XXJvI-4Wsu_u-KZ2BzyqUQ%3D%3D&xkcb=SoDz67M3-fLQXFwiJR0IbzkdCdPP&fccid=d40ebe11fc879426&vjs=3
Cmptl and Data Sci Rsch Spec 3,https://www.indeed.com/rc/clk?jk=30c46050197e2fc7&bb=1b4aq8_P2ZCgTcIeE7do20yNAIDssUmIcM-YQyut9_JcVCBnWHrMcmsLljYpqTKjHj2CUU9dgZH7MSYehvA37BcalO7fdajviM079G2hEz5NOcrwsZG4WQ%3D%3D&xkcb=SoDp67M3-hgCXmwiJR0LbzkdCdPP&fccid=10b5a4abcc6bf067&vjs=3
"Senior Manager, Data Science",https://www.indeed.com/rc/clk?jk=09abd6c3d5b7c964&bb=1b4aq8_P2ZCgTcIeE7do2-Zp3VGY1JWujJ8A_jL7CxXJX6BxpUQ62xVovCpi-TJRvmxa5P339lXOd8DrLhilo_dYn9qvUgf6YCDk-f2L2ogg-sI_T_7VDA%3D%3D&xkcb=SoBd67M3-hgCXmwiJR0KbzkdCdPP&fccid=9784ae78e9834539&vjs=3
Senior Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=2b78b12d6bb330b8&bb=1b4aq8_P2ZCgTcIeE7do27QCRtTV7aQAg4lw-Fp9HpPtfpT248AYsxlxhR6UBdu2eGxB6T8S_w56BsfPiE-NtUJq9uqXMncKtmwKf-3lxhk5spnsFQkupR3V4wq8mL5Z&xkcb=SoDA67M3-hgCXmwiJR0JbzkdCdPP&fccid=fd0b91c6ea94ae02&vjs=3
Senior Statistician II,https://www.indeed.com/rc/clk?jk=b3a07f1726bd9169&bb=1b4aq8_P2ZCgTcIeE7do2wY6OQliBe02EI8F6Qu0Ii0LWvkFk21zf7MSm9IENYShKSsd0szr74BUYONuMIfb7cX2fi8Yp13wDtY_ju0J2JfGePhL-GBco1tgoikUyK_o&xkcb=SoB067M3-hgCXmwiJR0IbzkdCdPP&fccid=34b29210c02ce03f&vjs=3
Senior Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=a85dfb6819ba8607&bb=1b4aq8_P2ZCgTcIeE7do20N_VjCHdvuuWLWQi5zr-K79HxLtjN4frPmH5VrwHpWAqgehd1iQRZkCDlKIl7oNZn02omtjEVcTpdJiKuy0ymts_alfVjpREQ%3D%3D&xkcb=SoD667M3-hgCXmwiJR0PbzkdCdPP&fccid=9784ae78e9834539&vjs=3
Machine Learning Engineer 2,https://www.indeed.com/rc/clk?jk=e2d15285d087e716&bb=1b4aq8_P2ZCgTcIeE7do2wY6OQliBe02x8VaZA4hZSbDqfpm85coTu_Pcl0dd6EQV8d6puxDajExidLj0QO4ha_XTfGQSzw2cj9ZH8YMK2Cb0MAcX71zsg%3D%3D&xkcb=SoBO67M3-hgCXmwiJR0ObzkdCdPP&fccid=9784ae78e9834539&vjs=3
Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=e2f7e992fed1739d&bb=EfkWo4lIau_n779sM3EWbr8PcaBMx2m2ROkVgmW24ki7jKzjwF-W4u_BFPCtOfwwp1HQV7ykbPTyoYXSO7Y-tPP0Rxjf8IP_q7ztzjgH1-_xXknKSx3gYw%3D%3D&xkcb=SoBL67M3-xNItbysJh0LbzkdCdPP&fccid=59867e5a232c7b5c&vjs=3
"Applied Scientist I, BRP (Buyer Risk Prevention)",https://www.indeed.com/rc/clk?jk=5bb8a931097dd00e&bb=EfkWo4lIau_n779sM3EWbi6rFud32wmTU6boIagvixPu95bAGuhCfaxU-3hHE144-x8KKmjYbRX6hO6WViH1QLBL2pVwPI8pRyoRmUr0VscnIq71s3mZZA%3D%3D&xkcb=SoD_67M3-xNItbysJh0KbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3
Senior Contract Data Analyst,https://www.indeed.com/rc/clk?jk=1795ccad43923376&bb=EfkWo4lIau_n779sM3EWbvmCtJ-BvTK2Mr8WfX3Nmuizm3BZQF2-fHc-EEDE4jkDRXmVhrHPa7r1Swu1ZKqxk9fpvnNMHE3KqLqdDsmtNaXY70rLfDQhu6GywS9kddSe&xkcb=SoBi67M3-xNItbysJh0JbzkdCdPP&fccid=1e73d9f9d6a53d53&vjs=3
Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=e2f7e992fed1739d&bb=aZvTX_j8z7vkvUIGOcj_843U6WNymIfDiYMlop-R7bRc78cT3glTXFtCvZxvn6Pj1AK91LPW7APdQmSWhDlNkpPLDrFYgIAx_163tKd4hBs6pFiBT2F2Jw%3D%3D&xkcb=SoBw67M3-zh6K0W-X50LbzkdCdPP&fccid=59867e5a232c7b5c&vjs=3
"Applied Scientist, BRP (Buyer Risk Prevention)",https://www.indeed.com/rc/clk?jk=3956d36f00da580d&bb=aZvTX_j8z7vkvUIGOcj_8_B0mS9r_Qbo709p_TdIHEY0sPaH8JXazMbnGXk4_6Gn5x96ZwBhwef5WBaUv-s4CPsHcWe7hEicME_a8ioBrDLzSnFgfemPsg%3D%3D&xkcb=SoDE67M3-zh6K0W-X50KbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3
"Machine Learning Engineer, Cloud AI",https://www.indeed.com/rc/clk?jk=c4987d645930d195&bb=aZvTX_j8z7vkvUIGOcj_8243p7_Cs4quixy_FAkQPlfFky68jjyflsH8qZnkZrl3zDWU3Vwp-6dOiBhrQCzJXXMZ0n7ZYzy54AFVvt-rIHCFrk-a8Poh4A%3D%3D&xkcb=SoBZ67M3-zh6K0W-X50JbzkdCdPP&fccid=d40ebe11fc879426&vjs=3
Data Scientist - 5411177,https://www.indeed.com/rc/clk?jk=5fb1a790e8a0ecf6&bb=aZvTX_j8z7vkvUIGOcj_833ugzzXEwEfZaIPfowBjaCdxrlshgxyFGQOAmt-TP61Hyw0bWk1R-mk_oDx2nb7rNrKpgvDIcy-Wr_iqXhmJO0wMF3-Qdv5Dw%3D%3D&xkcb=SoDt67M3-zh6K0W-X50IbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
Senior Contract Data Analyst,https://www.indeed.com/rc/clk?jk=1795ccad43923376&bb=aZvTX_j8z7vkvUIGOcj_881ymLDGnJ7EU3gOd2sBl2C6azfYVW1W3lxHpYSj00nKy447I6jPA3D9UPZbga35OW6K-PzdGHfoIaV4xsQQjzA2ZnM7Hcpm5l2YK79qeGX9&xkcb=SoBj67M3-zh6K0W-X50PbzkdCdPP&fccid=1e73d9f9d6a53d53&vjs=3
Data Scientist II,https://www.indeed.com/rc/clk?jk=341cc52f9adbc956&bb=6CdWgMasJI9gdXOT0yawAWeQ67WuSEX7PCeTJSzWdiRkJtSclF4NoyM1fCWxDh81mNuCRoX_A1uoUCv8kvekxWQOti2KAz5lU9p5WiVNMOxgrUIOnaAtaQ_338I0Rx6Q&xkcb=SoAP67M3-2GqKRgTWr0LbzkdCdPP&fccid=ef82ab85e15d8df3&vjs=3
"Machine Learning Engineer, Cloud AI",https://www.indeed.com/rc/clk?jk=c4987d645930d195&bb=6CdWgMasJI9gdXOT0yawAQEiq-6iZSmhfDF9DL5B0cY6vvuxuKUI3VAkiv7oX5KRna3d2fUErGmVsVRFS0W2scno923IEBg4p3u62bQGbWV5EviZfxB1PQ%3D%3D&xkcb=SoC767M3-2GqKRgTWr0KbzkdCdPP&fccid=d40ebe11fc879426&vjs=3
AI Compute Experiences - Product Manager Staff,https://www.indeed.com/rc/clk?jk=35490f051809caba&bb=6CdWgMasJI9gdXOT0yawATgIeE7I80-8QuF9lUGsU2AMzTA06fnBGsUFqpN-sCO70cxFAEcd_-jhNOMh1ZEBKBhEvwozY1A7YHnTUlz6aFPF9Qv3PjDRGQ%3D%3D&xkcb=SoAm67M3-2GqKRgTWr0JbzkdCdPP&fccid=d40ebe11fc879426&vjs=3
